   phi1     Phi    phi2
90.9702 34.2644 222.702
91.0146 35.9148  312.94
219.448 66.2827 115.907
268.667 144.221 44.4213
140.835 113.802 27.3943
321.788 65.4167 243.362
40.7634 113.615 64.3273
91.1324 34.5189 134.585
141.352 113.417 116.245
218.262 66.1942 115.939
139.863 112.321 115.537
320.007 64.5563 154.107
219.736 64.4564 114.684
40.6863 114.342 154.913
219.216 65.6255 295.405
270.776 144.981 224.772
319.678 66.1894  245.69
138.716 113.639 295.631
142.303 112.377  26.059
41.2061 113.284 63.9069
321.272 66.8916 242.203
321.393 65.8768 335.454
220.727 66.0241 205.794
38.0087 114.269 63.2514
218.478 66.3966 206.991
321.533 65.1326 243.871
89.8493  36.331 134.867
141.189 113.633 206.341
40.0432  114.12 154.128
39.2569 114.149 243.556
321.408 67.1519 151.412
320.571 66.6007 64.0358
90.1368 33.3225 44.3086
321.511 66.3536 153.029
 90.625  37.514 134.768
 321.52  67.793 243.367
320.748 65.1988 243.065
219.671 66.1354 116.094
40.1779 114.412 153.085
321.755 65.6457 152.794
39.8242 114.369 243.381
218.789 66.8642 117.049
89.0398 34.2439 225.868
267.557 144.536 312.737
37.9823  113.68  333.41
89.4971 34.1809 135.641
219.351 65.7986 25.6044
218.375 66.3726 297.208
91.3679 34.6684 223.148
269.116  145.89 135.652
 268.54 145.842 132.987
321.057 65.5313 335.735
38.7996 113.964 153.755
270.982 144.722 46.3651
268.407 144.398 222.819
140.779 113.685 116.396
320.359 65.6411 334.705
141.045 114.375  26.698
320.418  66.478 334.728
221.125 66.5585 25.4757
320.709 65.2211 64.0456
90.8665 34.3357 43.7176
140.494  114.25 115.006
140.615 113.765 27.2166
218.234 65.3311 26.5216
219.341 66.3285  118.52
140.591 114.511 28.0219
 219.34 65.6548 25.2017
141.083 112.014 208.602
141.181 113.549 297.318
89.7975  34.908 225.318
38.9261 113.871 243.007
89.7025  35.448 45.8717
 270.95 142.761 225.543
219.934 65.3852 115.879
37.6295 114.145  242.75
38.1922 112.199  334.11
 268.29 145.064 133.798
41.0852  114.03 243.789
 91.381 34.8657 314.542
38.8952 113.366 243.947
320.986 64.9349  244.59
322.191 65.6596 333.412
 272.22 145.327 46.1998
220.389 65.0777 296.084
319.749 64.9617 334.919
267.988 145.702 222.204
321.658 66.7558 64.6716
40.2104 114.258 334.198
140.893 113.392 206.741
321.731  65.993  153.15
219.737  65.749 294.137
39.7344  113.57 243.233
89.6161 35.6404 134.717
269.583 145.346 135.307
218.766 64.2426 25.9466
319.372 66.4281 153.312
88.0986 34.5002 316.959
218.579 66.5005 206.277
91.0488 34.6658 314.098
39.2027 112.444 333.697
88.5394 35.7676  46.998
93.1187 33.6441 43.6499
39.9831 113.918 333.996
220.039 66.8915 206.619
268.718 144.809 134.539
320.123 65.3598   63.29
90.2227  31.797 224.729
319.989 65.3854 62.8413
 270.15  144.72 225.101
 40.007 112.834 66.2118
89.3982 35.6332 313.836
219.307 65.0313 206.437
219.834 66.9582 206.846
219.018 67.0152 297.178
88.7233 36.1457 136.399
266.885 145.445 42.5809
321.088 65.3802 152.256
91.8817 34.8984 313.153
