     phi1       Phi      phi2
  53.2526   57.1837   47.3526
   9.4397   48.6944   55.7712
  129.895   52.7957    26.906
   303.01   53.4788    42.145
  353.369   52.0924   47.4916
  8.67365   54.0352   52.8611
  79.2161   60.8857   38.7575
  226.341   47.8885   41.9771
  155.215   59.4903   40.7805
  352.391   60.0834   44.0696
  149.648   55.4981   35.1308
  297.677   48.5031   46.0441
  237.549   50.0505   49.0726
  169.508   48.7663    51.342
  100.588   47.8979   33.9702
  88.7318   51.4016   41.9023
  32.5537   55.0274    36.729
  65.8402   55.7968   46.3892
  217.053   60.4399   36.9323
  199.396   47.2403    41.726
  181.073   71.7598   34.0129
  84.8863   47.0504    33.694
  196.343   52.4178   36.1798
  80.6059   56.1507   29.0752
    226.3   68.1144   39.9789
  285.341   46.1177   40.1025
  216.344   50.4234   59.1569
   20.228   61.3748   47.9612
  286.027   37.6761    40.492
  263.046   58.4632   54.6865
  303.948   59.4471   48.3057
  210.011   47.7697    44.506
  32.2501   57.8867   42.8762
   312.14   53.6417    34.357
  6.04602   44.9613   46.1878
  54.4311   48.9083   52.4707
  271.008   53.0097   35.0943
  190.228   47.8543   35.4514
  319.794   55.4718   44.0049
  178.275   59.4025   42.9667
  45.0719   63.0712   40.4572
  88.0737   51.1538   32.1073
  25.0457   50.8146   36.0583
  265.265   52.2324   40.8728
  199.152   60.7929   54.8015
  262.428   49.5154   46.2611
  64.7297   62.8165   44.2128
  329.669   49.5644    42.408
  274.559   43.2099   34.4888
  118.772   55.6719   35.2173
  200.193   52.9713   47.7941
  12.1871   55.0848   41.1814
  218.816   48.2157    38.914
  325.836    61.878   50.5914
  228.405    50.433   44.2942
  108.717   57.4292   49.0072
  46.4485   48.3996   42.3242
  134.885   61.8258   31.3073
  83.8732   45.0498    47.762
  288.608     57.38   50.7183
  189.384   55.2548    53.894
  216.624   56.2788   41.8805
  232.089   50.3377   47.5888
  83.8886   53.5923   46.8375
   302.84   54.2939   43.7129
  146.155   52.9506   31.6922
  68.0878   64.2086   38.4189
   112.55   55.0413   55.4205
  137.055   50.7198   39.1729
  186.585    52.564   46.1684
  225.333   64.0329   66.0503
  74.6274    52.986   43.0339
  268.856   48.9624    57.097
  218.769   39.4593    49.342
  266.184   47.2768   44.8736
  299.667    53.487   47.3192
  92.6406   50.4049   57.9543
   269.62   48.7967   36.8228
  53.0206   49.4676   38.4334
  71.2993   58.3084   44.2504
  104.608   48.0334   56.7666
  351.936    55.245    42.745
    42.99   45.7873   47.6248
  217.531   48.9374   45.3695
  342.659   47.0027   53.5625
  17.2623   54.8255   61.6702
   192.06   56.7255   43.8314
  4.41066   59.7033   54.7673
  230.643   42.4782   46.8052
  215.029   60.4545   36.0878
  301.448   66.1642   58.8234
  290.578   53.4599   53.1461
  262.169   46.0408   51.2985
  159.843   54.0388   43.8633
  322.481   49.7734   56.6939
  254.215   56.8177   56.7835
  83.4803   52.1637   33.5217
   72.618   53.3971   40.1107
  141.815   58.2173   53.5953
  61.3184   55.4064   36.6105
  76.3504   61.0099   41.4324
  156.877   45.0404   31.9825
  241.139   52.7597   49.9644
  293.168   50.9291   38.3134
  308.852   52.8515   43.6215
  265.676   51.0245   40.8641
  98.1465   52.9482   27.3734
  21.5968   53.7215   39.3796
  188.131   68.5631    36.595
  136.344   53.0661   33.1844
  325.565   59.2734   42.9747
  225.062   60.7901   32.9882
   24.297    54.611   46.5849
   236.73    50.535   42.2277
   239.83    54.976   50.6368
   224.26   55.0373   53.1204
  52.5773   51.3498   47.9103
  290.397   56.4919   42.6507
  234.152   55.5084    46.288
  222.788   53.9863   37.9217
  97.3768   59.3219    42.002
  57.0782   48.6283   53.3829
  119.501   53.2704    35.914
  268.833   51.4739   47.9353
  38.5868   55.6018   40.0254
  50.3639   58.1355   51.1531
  295.228     57.86   47.9247
  301.828   56.1476   41.7488
  59.6517    50.923   44.1555
  265.363   54.2108    44.362
  300.613   60.9609   43.8931
  189.683   59.9318   39.3487
  279.189   46.2214   28.2138
  147.777   57.7412   48.1519
  291.172   57.5824   45.9754
  105.402   61.1186   44.1066
  167.848   50.5502   32.6418
  282.553   58.8112    38.745
  12.2575   59.9258   50.0058
   42.424   44.2059   38.9154
  130.291   61.5529   51.2943
  353.739   65.7153   56.7441
  54.1286   49.9168   48.7188
  114.872   55.8401   45.9311
  357.888   54.2729   53.6027
  281.284   51.8746   48.9458
  70.9023   64.0543   35.9128
  257.219   49.1253   38.5236
  98.5849   48.2485   45.7784
  26.3452   56.7739   53.4596
  129.052   54.2019    56.486
  262.701   48.9084   47.7902
  105.591   48.7583   42.5328
   290.69   52.5167   45.3052
