    phi1      Phi     phi2
 246.475  49.5149  142.178
 74.9984  35.2893  311.599
 62.0211  22.1968  337.018
 254.693  36.1506  135.806
   274.4  36.3203  55.3791
  253.75  30.5318  69.4714
 282.487  35.2528  62.6142
 119.367  30.4204  205.948
 86.4458  23.3105  313.734
 113.724  26.5404  204.845
 49.3537  32.0719  337.578
 43.9461  31.9172  346.887
 80.0781  34.2014  323.606
 84.0451  26.8599  238.493
 109.216  23.0107  280.922
 270.479  40.5696  53.1898
 136.866   33.131  192.073
 88.1639  32.5801  312.245
   263.9  10.6291  94.7489
 278.798  35.5865  49.8674
 263.777  27.0071  134.622
 55.3328   30.755  341.841
 278.098  28.9774  40.6285
 289.586  24.7737  35.8345
 175.711  22.3506  186.429
 241.694  26.8744  126.185
 285.914  23.1755  48.5326
 85.8114  22.1813  314.227
 256.193  26.3731  143.953
 127.269  54.1433  232.875
 226.406  29.9026  162.501
  303.44  17.1956  49.0531
  233.33  13.0579  142.028
 224.722  33.9906  168.062
 87.3623  25.1593  317.227
 269.097  29.4063  130.853
 139.774  42.7674  182.611
 120.438  39.2095  279.501
 331.526   39.072  7.27427
 44.1012  38.1676  340.107
 195.937  38.4624  164.741
 262.071  24.1275  52.5733
 108.422  22.5345  293.412
  239.04  35.2085  151.504
 103.792  43.5683  290.606
 193.945  30.6368  188.148
 8.38281  21.5373  4.72062
 221.715  32.4514  168.841
  310.16  44.7215  84.2259
  41.878  28.8447  349.151
 89.6883  27.3669  225.019
 30.3443  10.1599  324.056
 54.5804  44.1665  271.282
 213.339  44.0512  169.404
  260.08  25.1754   143.85
 257.358  31.0672  145.373
 247.272  28.1989  67.4153
 77.8618  22.7094   285.87
 326.216  26.2568  9.19513
 150.984  38.6616   174.66
 244.159  28.3203  149.083
 219.978  31.5192  169.732
 260.791  23.0866  61.1901
 296.865  25.1273  29.8443
 314.536  3.68073  50.1934
 305.391  41.4129  11.5268
 124.918  23.4951  202.524
 228.793  26.7424  163.933
 333.727  39.3485  347.144
 182.896  44.2304  185.379
 282.625  27.6543  39.1404
 241.025  44.2831  123.046
 185.609  18.9586  173.899
 111.312  33.9581  210.702
 298.983  48.4419  66.3768
 65.9472  39.8632   251.11
 94.6366  22.4343  288.369
 246.837  30.8236  152.944
 220.803  38.2624  172.493
 300.445  33.3415  83.9004
 251.173  19.8996  67.4134
 58.4342  20.9194  331.733
 28.4799  35.4588  8.23067
 63.1785  38.6976  328.614
 238.519  31.6872  137.158
 250.962  32.9679  139.096
 294.119  37.3305  95.3629
 345.615  42.4863  352.794
 266.794  31.0132  137.209
 58.9681  40.3577   334.49
 154.468  37.7455  189.111
 89.4843   35.479  246.135
 69.9415  27.4548  319.353
 83.3498  26.9669   317.83
  162.19  26.1375  185.778
  302.59  30.4685  101.043
 193.783  40.7365  174.145
 67.3245  40.8305  259.857
 249.329   31.274  71.7543
 24.3591  34.3893  2.99404
 82.1401  30.9752  321.294
 261.755  29.9359  54.2116
  68.847  28.1078  322.556
 266.747   23.428  123.618
 61.4348  31.6675  336.613
 308.664  12.4362  80.0144
 95.4399  28.7671  304.288
  4.8212  25.0429  352.194
 116.031   26.701  205.496
  101.06  27.4147  225.344
 74.8403  33.6517  329.017
 152.431  27.0097  188.698
 306.562  25.3364  26.0486
 65.0402   34.331  333.231
 298.431  32.4205  16.8028
 210.507  45.4508  179.897
 56.1695  44.4804  333.391
 123.203  24.3331  222.351
 218.725   38.367  165.833
 269.406  25.4067  48.3339
 251.768  18.1101  139.756
 58.7144  30.5432  338.736
 105.303  19.3874  230.144
 297.165  25.7764  39.0317
 318.742  35.7067  359.781
 242.652  19.6929  144.785
 181.584  39.0736  184.927
  120.23   41.249  220.547
 358.277  43.0267  359.714
 256.156  28.6212  144.502
 347.686  23.9954  11.5222
 76.6246  30.1204  242.548
 225.116  30.4039  162.942
  112.14  8.59925  262.104
 317.287  26.3127  2.68222
 74.8692  14.3989  300.574
 116.817  34.4317  225.642
 233.195  27.7591  143.916
 300.798    25.72  67.7349
 305.262  48.5127  66.1344
 169.192   36.992  190.077
 98.9822  28.7254  225.784
 101.811  41.8043  242.013
 64.5043  32.3449  338.728
 203.259  35.7691  178.016
 105.664  28.5083   209.31
 229.961  24.1321  158.631
 238.501  28.4618  151.237
 109.644  25.6752   212.34
 277.585  24.0549  117.034
  317.28  33.8342  14.9696
 209.033   18.839  161.883
 238.733  22.9926  164.774
 57.8461  31.6619  341.866
 121.801  32.3366  196.917
 280.402  17.0568  110.211
 57.2788  34.5295  339.752
 300.534  34.3161  18.2929
 8.36311  38.8701  356.535
 304.047  40.6935  38.6073
 230.537  19.1709  130.198
 291.117  30.7018  36.8959
 129.829  34.0129  195.535
 53.8693  30.9643  335.647
 299.882  27.2478   27.649
 312.605  39.4819  83.5005
 265.587  15.0243  96.3371
 353.196  42.8747  1.07716
 55.3217  38.9042  263.185
 239.889  31.3456  157.196
 86.7331  9.09747  260.764
 118.816  26.2667  207.101
 105.201  34.4633   218.76
 104.425  14.7877  231.714
 310.535   42.069  16.1303
 185.502  32.2422  177.445
 274.447  29.2582  40.4988
 56.9762  31.2437  341.267
 24.8116   47.247  349.593
 255.918  45.2559  111.786
 143.939  35.0766  194.759
 295.875  17.0832  38.2458
 55.4131  29.9169  335.926
 242.911  45.5736  135.784
 143.148   35.023   186.77
 177.435  43.1914   170.17
  83.415  32.0989  230.266
 301.359  29.2463  64.9044
 50.9796  27.4178  340.957
  45.023  24.5676  319.093
 267.355  28.7562  50.9772
 127.952  42.2771  220.212
 259.946  33.3778  60.9119
 89.9164  33.9619  307.444
   261.6  4.84351  101.388
 53.5167  26.2822  333.246
 110.386  27.4755  214.512
  53.359  36.4743  345.896
 42.9325  30.4987  344.914
 300.799  31.7479  20.9663
 122.137  41.2071  273.861
 82.5534  12.6315   307.01
 145.541  45.4985    204.4
 126.671  44.0665  272.646
 140.258  40.0325  186.249
 316.792  40.4422  20.6928
 310.647  40.4652  24.5344
 68.8029  29.9452   318.67
 285.831  32.6555  41.6016
 111.371  27.8359  289.593
 270.496  20.9096  51.7035
  245.48  30.5929  157.245
 256.552  6.34385  137.924
 63.3385  23.0622  327.731
 155.352  41.2839  188.282
 211.031   28.981  169.186
 134.829  23.6561  191.186
 132.438  43.1742   191.61
 84.2948 0.854323   277.15
 25.8233  40.1533 0.903409
 34.2275  35.6003  354.512
 205.639   40.906  175.058
 59.6248  28.7457   335.84
 331.263  38.9957  7.16657
 255.611  29.0256  139.342
 317.218  38.2869  6.82801
 110.935  23.3483  215.558
 304.242  36.8425  24.9215
 89.6694  41.5639  293.725
 266.066  25.0557  47.8858
 61.7875  39.8335  267.758
 202.171  39.8778   174.68
 270.651  26.7691  46.0738
 203.077  21.1658  155.674
  71.848  24.4131    243.7
 313.221  17.9387  22.2809
 102.505  26.9203  214.183
 70.9319  27.5707  324.221
 283.737  28.7983  33.0598
 89.5278  22.7276  235.419
 154.368  21.4362  187.573
 30.8924  37.8628  357.885
 69.2141  32.1828  330.223
 43.4958  38.1935  357.881
 101.898  32.6222  216.508
 314.227   44.589  2.20289
 171.372  40.6168  176.352
 256.667  29.8584  133.478
 251.965   28.501  138.062
 299.195  47.7864  69.9563
   242.9  26.2348   126.64
 283.955  34.8818  115.728
 299.527  26.6155  19.9173
 118.614  30.6724  211.133
 40.4516  35.6511   348.98
 257.615   24.003  134.824
 267.549  28.5733  132.325
 238.432  22.6352  142.093
 143.851  34.2182  189.425
 296.081   35.615  32.3328
 144.753  36.1528  190.694
 50.5372  42.6451  346.783
 137.921  45.4533  188.403
 54.8928  35.1159  335.933
 154.726  43.9283  176.592
 226.675  22.9509  163.306
 281.614  31.2542  79.4022
 135.159  38.8163  182.519
