      phi1        Phi       phi2
   228.782    133.491    290.632
   348.445    56.7172    169.654
   157.877    64.2705    280.478
    23.802    55.8469    222.224
   225.144    68.5093    72.6739
   249.845    7.64133    107.694
   333.542    83.4443     65.159
   30.7137     75.691    268.974
   247.914    68.3745    272.792
    277.78    127.276    317.619
   324.634     164.32    50.3319
   251.155    55.9396    79.6627
   180.636    143.916    194.881
   252.779    74.8403    357.993
   128.428    61.0562    138.922
   152.013    49.4121    213.942
   187.859    56.3359    41.2725
   111.316    15.8412    349.452
    296.35    123.358    226.817
   209.615    84.6247    108.633
   89.5901    73.7191    233.684
   122.071    37.3658    5.04906
   188.878     120.38    297.909
   186.618    70.4188    260.443
   36.7138    45.3284    185.476
   346.604    67.1608    93.0809
   98.7232    48.3091    36.5475
   149.881    113.445    69.2643
   69.3137    100.072    160.114
   90.0454    76.1501    79.5583
   188.052     132.21    234.542
   111.431    144.523    334.546
   210.634    69.6219    278.925
   300.432    80.4145    10.4211
   257.595    48.8193    222.998
   100.762    64.6208    38.6636
   353.304    44.5097    2.60604
   202.697    83.5297    73.7925
   210.626     109.72    247.557
   78.5818    52.2709    141.326
   6.17201    65.6962    11.5058
   128.228    73.7427    141.629
   148.525    43.9886    63.4955
   198.322    128.374    138.372
   122.919    60.3073    336.437
    227.99    100.373    196.074
   330.415    134.166    162.868
   13.5611    87.2931      3.156
     348.3    147.243    124.471
   234.115    129.095    90.4305
   36.5652    36.6666    142.142
   64.5557    119.589    297.002
    130.99    113.697    117.356
   175.113    158.502    260.531
    184.72    30.0619    37.2582
     110.5    63.1622     92.382
   61.1983    97.0956    80.5142
   263.194    100.745    303.375
   337.787    103.951    75.2654
   115.861    14.5762    174.914
   151.021    87.2413    106.699
   37.3098    68.0934    131.052
    247.16    39.2597    157.744
    57.988     138.48    45.7389
   111.479    113.804    110.194
   306.892    101.787    145.765
   267.515     51.329    200.987
   114.267    41.9174    86.0745
   266.106    131.481    219.625
   340.464    113.028    112.455
   237.146    156.541    122.879
   126.704    77.0692    53.0772
   318.966    29.8376    250.292
   248.252    17.7018    55.1137
   148.079    105.045    6.44456
   66.9021    168.219    97.4445
   244.286    13.5284     121.42
   27.9501    80.1893    177.048
   37.0446    140.772    273.015
   336.733    73.6323    341.284
   293.865     58.618    120.531
   200.489    36.2955    243.728
   236.536    30.1722    349.351
   291.767    148.192    136.594
   240.079    74.7133    61.1577
   123.279    64.5002    310.989
   215.268     155.31    125.442
   309.891    155.866    56.5783
   242.932    117.341     113.58
   107.788     76.101    183.938
   172.508    139.023    19.3005
    73.465    41.6907    213.708
   248.161    128.902    337.274
   295.631    43.2108    126.137
   247.631    126.624    28.9572
   221.089    72.6251    269.304
   142.839    108.726    55.8953
   204.158    31.2916    70.0365
   45.5133    41.4799    239.472
   101.055    21.7103    37.5024
   287.349     133.93    55.8589
     318.2    89.4308    37.9691
   278.101    104.401    320.693
   299.841    44.9808     347.01
   239.785    80.3105    192.793
    93.601    144.702    234.037
   315.222    122.204    156.004
   343.845    119.542    137.598
   332.952    79.7648    359.238
   245.604    102.058    327.918
   69.0409    135.594    254.199
   77.8036    118.555    344.448
   248.209    80.6824    158.429
   137.828    91.8372    164.751
     134.3    63.9766     340.96
   21.2703    22.9712    2.19289
   175.299    93.7654     344.65
   186.721    157.496    266.265
   215.219    172.964    288.659
   343.658    62.8058    192.273
   10.9562    161.192    252.474
   15.4028    126.971    116.326
   63.7456    25.7533    124.541
   265.549    87.0789    69.7347
   254.831    93.8537    252.289
   347.103    162.663    174.109
   326.118    76.0245    220.623
   91.9019    91.9396    92.5003
   174.955    79.4681    6.50231
    269.91     32.841    160.195
   144.893    131.145    299.388
   101.394    52.1956    304.605
   62.8144    152.009    141.844
   213.927    141.922    118.536
   102.009     18.213    155.913
   248.083     122.92    303.989
   228.529    148.763    196.025
   266.209    17.7146    56.5369
    319.51    40.4656     210.26
   47.3032    107.545    60.5613
   306.727    127.078    341.361
   275.813    124.141    251.943
   182.633    110.503    83.2815
   143.106    28.1306    322.911
   146.723     149.19    180.262
   357.112    112.354     313.66
   225.583    99.2437    23.3994
   220.388    138.118    228.556
   62.2495    73.5886    331.977
   52.8314    138.943    348.055
   23.2929    172.305    98.9887
   335.527    109.031    353.475
   293.449    144.484    342.525
