    phi1      Phi     phi2
 215.211  109.088  163.789
  55.062  64.1532  295.795
  248.48   144.59  16.8284
 305.994  133.989  268.975
  307.94  135.158  180.714
 241.797  82.0926  296.538
 231.008  142.292  280.179
 10.7621  45.1827  269.353
 102.646  108.573  277.819
 294.035  93.4548  216.903
 60.2204   150.88  293.597
 266.529  26.3062  46.7118
 306.586  31.9115   292.29
 318.203   106.31  290.667
 116.703  116.366   191.06
 183.261  90.0199  76.2735
 32.5656  118.149  256.112
 323.672  30.8094  193.621
 10.3916  48.2488 0.764698
 273.863  113.092  181.681
 12.1622  139.716  359.357
 91.7965  91.1765  94.7131
 58.5337  150.627  204.865
 269.245  91.4451  142.848
 331.517  136.253  359.653
  37.184  69.6691   18.124
  328.96  121.753  278.683
 54.3927  88.7167   43.641
 42.5443  109.935  161.764
   43.31  73.4272   200.92
 330.544  69.8496  165.221
 213.327  124.589  77.9096
 272.513  151.466  137.412
 294.897  85.4994  236.005
 354.817  73.4677  310.524
 277.659  89.4592  42.9757
 264.878  90.4326  53.5035
 250.169  169.812  252.727
 86.5037  26.9221  45.3758
 227.753  30.1417  244.807
 145.565  34.3779  99.9431
  233.43  78.1401   202.14
 18.2301  71.6417  25.0512
 207.344   141.35  96.4873
 120.213  4.44331  58.3424
 36.3585  68.8697  108.242
 51.9207  80.8248   211.36
 226.283  104.282  335.598
  136.11  107.915  201.273
 52.7417  96.8398   238.49
 211.053  115.201  169.646
 45.7099  150.493   107.08
 243.581  29.8854   64.209
 316.168  67.5526  236.794
 321.568  51.7586  82.5169
 40.9483  110.874  251.686
   221.6  71.4167  201.259
 111.527  144.625  238.827
 196.051  70.6099  9.75449
 220.202  109.718  252.115
 319.011  109.039   199.96
 161.721  56.7712  353.795
 327.064  57.6286  344.639
 151.254  63.0267   165.15
 220.904  71.9348  286.075
 136.146   71.033  340.937
 203.744  120.366  260.872
 37.6231  33.7068  78.3145
 46.5175  68.5313  111.658
 221.228  67.2909   287.86
  34.996  68.9178  103.493
 44.4567  70.5096  196.028
 123.879  101.714  205.461
 332.468  122.687  280.052
  110.88  28.6921  217.961
 291.277  149.723  64.4897
  13.934   88.303  330.545
 64.1165  86.3006  131.572
 139.085  34.2318  189.631
 320.458  36.4236  281.124
 144.663  65.4689  73.8994
 255.806  152.982  34.7036
 81.1094   138.23  242.655
 233.369  80.8708  124.173
 14.2021  135.281  87.1653
 75.3287  83.9677  296.178
 49.2799  77.0167  205.918
  329.64  119.774   279.48
 125.932  73.8215  333.197
 334.335  126.932  187.384
 141.168  112.796    16.98
 132.281   75.855   340.35
 28.2367  104.093  56.0389
 229.569  86.5531  312.158
  237.95    31.84  67.2063
 164.124  109.791  101.066
  224.17  103.476  333.415
 133.823    103.5  22.7392
 203.507  40.8472  356.482
 84.4261  151.722  128.623
  271.64  149.238  225.016
 263.195  26.4487  46.9233
 34.2848  113.036  344.269
 236.465  95.6035  142.362
 40.6755  141.251  185.046
 121.554  96.8184   122.33
 287.452  39.6965  243.585
 348.178  33.1042  184.019
 152.026  141.789  87.0236
 316.378  69.6027  165.286
 39.2494  134.765  270.299
 81.7174  162.965  195.495
 76.4024  93.4297  242.964
  308.13  117.775    282.9
 238.683  59.5306  299.974
 254.331  83.7771  201.588
 48.1924  74.0923  202.757
 179.302  103.978  86.9102
 130.588  77.4778  61.4322
 306.888  131.806  95.9266
 6.65161   50.004  3.95152
 271.736  147.548  38.4127
 46.2108  74.6315  205.934
  316.97   67.869  342.724
 349.361   61.769  176.747
 235.885  87.5747  220.738
 148.392  110.071  100.952
 258.044  27.6593  53.6886
 227.132  148.198  15.7146
 83.4013  89.4722  306.095
 236.027  108.871  71.9577
 238.572  101.078  65.1306
 284.496  26.6932  219.981
 25.3789  42.5186  86.2894
 262.714  91.0105  17.3021
 27.6735  35.5419   171.28
 44.4187  80.1656  32.0641
 299.698   97.471  121.263
   61.91  94.9888  54.3419
 99.3494  91.6838  134.615
 293.064  26.7449  119.374
 35.6723  65.4962  108.857
 265.428  39.6399  208.875
 340.069   61.547  355.227
 330.327   64.233  87.5815
 126.528  30.3998   202.51
  288.02  152.432  327.893
 182.535  71.0515  3.75917
 217.417  69.9921   194.23
 244.093  99.5478   347.16
 29.5891  65.8741  199.363
 106.496  40.2338  140.041
 254.729  90.1712  315.165
 232.971   86.075  307.997
 71.5638  88.5869  309.655
 312.661  34.2036  197.048
 146.391  93.9247  312.153
 99.7621  37.5566  202.799
 284.758  89.1155  315.726
 204.462  61.0065  99.4531
  59.267  68.6209  193.039
 197.134  59.0769  185.603
 271.466  155.627  295.761
  147.75  44.1318  269.798
 9.91777  48.1364  359.154
 212.715  117.818  162.996
 298.524  25.3567  27.4842
 188.328  80.4612  265.691
 81.5888  153.176  220.839
     311  73.8989  243.795
 300.993  76.5778  243.971
 217.215  91.7292  140.745
 319.549  108.972  288.874
 31.6614   118.21   260.65
   116.5  21.7143  303.963
 306.995  79.2048  237.847
  167.47   134.45 0.160356
 7.97687   59.053  91.1917
 322.792  99.3704  32.7225
 129.108  63.4104  346.922
 221.528  40.4208  266.248
 332.592  129.498  274.943
 160.429  64.0639  326.894
 252.056  29.9167  332.339
 51.7279  125.172  260.873
 127.626  38.6077  98.9042
 338.456   123.81  185.984
 77.5608  137.398  94.3908
 349.917  46.7272  88.4277
 144.392  116.184   106.28
 134.602  107.277  288.369
 188.681  61.4386  274.976
 40.9995  37.0903   352.16
  296.58  149.699  62.6733
 212.211  62.8421  101.391
 297.342  142.422  315.628
 65.6583  113.316   351.79
 179.252  96.2632  87.4258
 190.546   71.754  308.234
 272.824    151.8  228.391
 32.6844  54.7336  98.1667
 328.267  120.765  100.491
 23.8792    76.36  102.127
 253.404   93.127  235.995
  46.771  74.6418  114.007
 145.469  73.1663  343.141
 288.796  167.104  214.612
 199.279  152.324  188.805
 29.8922  59.8036  187.983
 315.039  77.0064  329.764
 165.344  110.147  99.7822
 122.835   82.014  331.326
 311.891  73.4008  153.455
 206.111  58.6122  7.40896
 231.679  104.015   246.16
 204.998  134.857   357.38
 248.434  89.3238  43.0064
 122.335  84.0966  325.863
 155.957  59.8666  171.254
  271.93  100.559  179.484
 162.568  104.783  305.011
 12.8061  85.8161  302.672
 62.8409  148.829  205.091
 96.2493  156.175  118.695
 310.516  68.6258  254.031
 245.457  151.233  299.361
 316.134  107.545  294.048
 290.379   150.28  329.882
 61.5984  166.419  238.994
 21.1725  146.918  95.0573
 122.978  83.6896  327.979
 36.2224   55.544   190.68
 153.807  116.348  290.724
 72.4652  88.5479  216.819
 338.865  71.8374  155.167
 319.886  110.545  291.435
 69.4927  80.5401  290.574
 246.931  31.2472  310.308
 237.638  79.1982  296.969
 313.192  75.7436  65.5719
 307.032  100.821  300.666
  301.47  58.9164  80.4661
 262.125  39.8236  206.352
 176.335  61.7307 0.322052
 73.6295  28.2911  54.7114
 327.653  141.777  173.456
 1.12048  25.0433  270.984
 330.688  121.464  101.306
 247.002  64.0379  295.556
  119.99  148.568  66.4053
 29.9332  111.159  160.868
  257.56   142.93  198.186
 57.9918  147.224  20.5284
 215.096  66.2732  194.474
 39.7124  68.5433  17.1927
 328.315  119.332  187.803
 221.202  147.564  102.882
 90.6766  95.8584   69.515
 71.3838  80.5843  197.866
  166.64  43.8487   270.71
  76.366  150.799  46.3864
  359.26  133.187  239.881
 63.6705  124.213  73.7522
 119.573  95.8144  305.405
 133.403  108.617  196.611
 129.139  146.181   342.67
 212.023  66.2521  199.089
 309.351     67.5  165.865
 189.215  122.382  358.507
 233.049  77.3746  113.716
 306.923  102.359  202.471
 121.506  80.1914  62.0569
 276.056  91.6604 0.659144
 81.9357  39.6024  297.447
 310.283  71.2986  253.441
 70.5116  26.1162   301.26
 314.173  90.2364  43.7525
 99.3159  90.6665  132.935
 259.207  51.2943  30.7543
 251.968  152.335  301.118
 240.032     86.9  217.543
 182.652  93.1963  12.0899
 182.952  50.6901  180.816
 41.0578  88.1835   311.15
 142.728  118.438  110.396
 262.873  99.3909  175.113
 91.2334  25.2462  40.9498
  251.67  82.8444   20.952
 36.5045  114.227  253.955
 256.337  89.8707  225.809
 156.416  131.793  276.472
 216.334  111.692  69.4581
 308.858   102.57  204.847
 42.9373  71.8251  106.889
 221.555  44.9835  325.307
 282.847  25.3428  128.638
 1.65752  128.141  270.225
  185.83  47.0877  357.724
 217.568  114.084  72.4717
 43.3188  131.435  269.859
  255.47  56.1043  120.885
 148.164  74.3106  147.057
 273.073  26.1436  218.088
 58.4573  101.683  250.427
  287.36  155.129  146.921
 129.933  76.3705  66.8045
 217.892  46.8035  274.181
 311.992  74.9183  67.5325
 32.4612  68.0983  195.844
 16.0005  105.413  53.8684
 341.849  57.5641  337.018
  39.023  73.6534  112.215
 24.9347  125.188  173.195
 211.922  53.6551  7.30739
 117.927  94.7393  127.198
 134.383  70.7001  159.936
 354.384  74.0278  92.5255
 298.886    32.01  203.636
 254.963  54.7388  120.952
 232.378  81.0662  300.086
 178.289  133.561  180.343
 183.111  88.8882   187.74
  214.95  66.7312  15.3564
 290.741  32.1872  216.007
 83.4864  90.7862  231.782
 50.8933  32.9809  75.8919
 230.942  100.213  240.322
 192.565  41.1099  359.495
 64.7969  96.8369   70.402
 122.353  129.333  290.899
  7.5788  58.3383  92.5479
 60.2744  84.4672  35.7555
 159.708  44.2154  269.502
 174.877  84.3613  339.652
 33.6428  104.785  70.3283
 320.394  43.3846  182.314
 215.982  85.4228  38.4888
  297.81  85.9395  323.239
 249.044  99.7373  76.4466
 311.377  73.2553  62.6473
 326.292  38.7112  354.297
 269.354  152.995  132.188
 183.893  21.5318  87.2544
 346.479  48.5053  181.418
 190.074   173.52  14.8812
 147.448  46.2806   267.78
 293.026  27.6291   296.64
  214.37  57.7983  280.503
 264.174  26.6574  226.417
 62.3196  151.066  294.213
 25.3705  51.2192  95.0405
 321.529  64.1829  167.027
 48.5938  104.623  337.963
 311.225  30.3341  16.8949
 122.785  43.1446  94.2908
 29.9422  55.6275  102.172
 121.426   100.98  115.485
 88.8754  89.3032  199.455
 263.204  26.9246  225.412
 271.213  175.096  80.2775
 69.9989  119.144  50.3211
 12.7828  77.1996  97.0094
 59.6853  96.3935  53.1346
  32.191  118.898  168.933
 93.0116  150.815  137.449
 322.651  111.294  289.431
 320.764  178.085  322.102
 96.0431  88.0815  337.288
 242.894    30.46  65.9819
 156.327  79.6865  152.749
 354.469  127.086  273.047
 335.399  117.268  100.105
 237.485  147.406  291.558
  123.52  87.1084  231.249
  234.55  98.8631  329.578
 313.648  70.9102   251.46
 167.003  74.7372  254.049
 41.9244  85.1034  38.5451
  326.71  58.2598  345.481
 41.5143  82.0678  215.408
 247.756  30.0726  153.579
 356.836  22.3683  2.71703
 310.156  140.936  83.5489
  130.51   90.354  134.197
 126.401  77.3867   337.47
 258.911  170.045  261.473
 51.6319  100.996  332.788
 38.9096  116.754  163.719
 28.2233  122.862  172.211
 64.1594  31.1351  65.2681
  157.05  44.9434  180.906
 289.556  84.2319  239.415
 344.206   137.94  178.685
 87.0625  101.475   90.622
 317.401  126.957  277.411
 88.7991  31.7276  35.9675
 305.381  147.712  259.529
 309.163  104.108  114.562
 269.248  89.5244  314.127
  257.72  138.605  151.769
 39.7839  128.823  82.1673
 169.952  46.1518  89.8343
 46.9407  22.1081  58.6845
 314.581  101.465  212.702
 131.758  106.659   26.226
 358.264  86.5698  357.738
 240.358  94.4246   53.623
 35.4966  33.5145  80.8882
 56.1741  100.021   148.56
 339.403  53.7368  82.3928
 87.1015  21.8235  126.991
 242.293  31.2144  65.5162
 276.703  91.9876  169.983
 120.192  31.8377   22.743
 94.5472  112.723  272.276
 226.803   105.65  246.334
 69.2393  156.357  128.925
 135.881  129.851  186.924
 326.762  62.4926  254.881
 244.834  102.147  346.021
 108.666  114.862   1.8133
 207.082   149.21  8.43866
 48.7259  102.362  336.414
 10.1343  45.9064  358.267
 72.2248  85.8299  123.171
 235.769  88.8189  220.583
 110.281  153.325    326.6
 57.3254  31.4118   338.45
 356.158  120.933  358.357
 243.195  153.761   30.679
  187.39  142.634  271.531
 164.114  87.4388  137.034
 30.2743  121.116  77.8968
 153.765  66.9074  257.773
 212.455  103.807  157.939
   262.3  29.0411  140.461
 337.166  73.7882   335.78
  21.384  42.5625  269.941
 10.1167  43.9259  359.123
 137.736  113.384  108.985
 28.6316  71.6433  194.876
 71.7537  75.5804  271.346
 264.075  25.7001   317.31
 230.724  79.3167  299.424
 310.415  102.594  204.932
 287.167  26.4067  217.987
 349.258  91.2063  353.827
 22.0578  53.5592  4.22627
 18.3467  51.7667  184.433
 153.166  132.885  92.2972
 41.1153  131.464  179.462
 242.774  97.6402  148.849
 346.926  36.0529  181.834
  310.31  107.317  111.404
 215.958  117.782  345.378
 35.1883  116.866  252.084
  28.863  74.3979  199.542
 329.565  155.789  253.717
 185.044   104.91  64.0416
 112.408  61.2208  67.3521
 272.128  149.498  229.207
  147.21  117.782  285.714
 152.474  123.932  279.146
 276.156  153.663  50.3454
 86.8212  155.503  42.1251
 311.203  79.0839  59.4601
 225.335  76.0234  206.477
 95.6271  38.1266  4.11323
 98.6214  151.676  142.632
 108.126  99.3227  100.991
 226.234  103.773   155.88
 313.047  79.4015  60.2605
 107.783  98.2554  197.758
 224.185  70.4464  198.095
  351.18   51.405  178.679
 91.6355  25.4917  222.627
 51.1534  77.6482  111.701
 148.883  91.7441  43.3483
 3.30778   87.195  82.8959
 333.274  114.941  283.946
 28.3511  71.1551  105.336
 140.769   54.828  259.217
 175.784  111.907  180.136
 38.5818  73.6273  286.086
 220.235  70.3946  288.094
 64.5749  31.4869  153.437
 69.6265  28.4771  58.7778
 36.3149  69.2452  104.434
 30.7094  122.262  80.1033
 75.0526  151.069  122.887
 88.8877  24.0612  249.347
 92.1818  153.872   308.65
 62.1333  98.7953  157.695
 10.5297  46.4298   1.1122
 323.156  123.144    102.6
  131.99  103.584  208.575
 138.082  74.0159  247.785
 211.545    59.63  283.939
 236.263  100.636  65.2574
 319.425  46.8815  266.162
 335.746  119.486  97.3599
 279.529  30.7877  19.7698
 209.512  118.233  347.848
 295.393  31.5149   25.378
 302.426  108.759  23.8047
 250.002  29.4562  143.205
