    phi1      Phi     phi2
 25.3256  28.0544  6.45487
 111.872  28.7859  275.988
 237.501  41.3324  158.839
 184.096  38.3347  171.193
 182.646  33.0319   204.81
 114.954  27.3547  207.687
  357.45  42.3562  4.84787
 227.688  42.5139   158.04
 353.577  37.9512  357.254
 286.696  20.0133  37.1151
 36.5982  42.5785  278.003
 130.081  32.4181   249.59
 98.0874  39.0764  298.492
 56.0044  33.0751    341.8
 63.2898  30.8162  335.259
 29.1728  35.9975  0.45148
 222.655  41.4881  170.817
 98.6553  30.4126  296.099
 53.5495  47.0215  337.827
  345.32  36.1184  41.3349
 279.369  40.7146  44.1812
 7.33853  16.8899  354.586
 107.063  35.7134  223.907
 269.378  18.2443  58.1691
 299.298  37.4485  98.4692
 51.8763  36.4471  272.037
 61.0809  32.4816  340.294
 232.949  46.0757  95.9063
 89.7261  27.1778  250.397
 91.7077   26.002  293.603
 323.481  36.0778  2.43334
 264.399  35.1243    132.5
 296.395  20.4971  100.943
 74.6843  28.4219  324.392
 257.397  23.2752  134.873
 344.069  35.3505  359.172
 244.159  26.3113  138.884
 106.058   35.188  219.069
 280.181  30.9346  116.519
 143.117  43.9475  186.681
 233.617   48.168  155.442
 123.611  22.4639  207.065
 258.221  14.0124  55.5364
 54.9641  47.2214  335.812
 60.6708  31.9013  333.021
 68.3246  39.3735  262.448
 231.062  43.1719   156.89
 197.505  41.4517   188.97
 218.729  31.8481  168.817
 43.4387  30.2257  345.805
 52.7166  30.2847  331.243
 127.201  50.8263  212.933
 103.358  36.6599  222.182
 207.958   42.146  190.352
 183.601  14.9891  163.696
 102.153  43.5884  221.272
 29.4044  32.4981  342.643
 225.973  34.8417  160.755
 89.4823    28.15   231.39
 238.982  23.5573   132.97
 314.288   29.006   13.131
 223.544   17.866  118.937
 359.735  42.9133  321.508
  27.831  7.92093  337.054
 91.4387  40.0362  226.976
 70.5039   24.927  322.873
 149.322  19.8312  179.854
 224.255  19.0456  172.857
 85.1797  33.2942  314.977
  31.037  24.8826  3.12537
 346.745  28.6991  13.0832
 355.069  45.3594 0.780725
 113.799  31.7902  287.107
 300.587   47.253  29.4106
 138.478  45.2284  185.388
 207.516    42.02  185.694
