   phi1       Phi      phi2
248.545   16.1142    150.37
307.438   21.9333   93.9224
119.597   31.1167    211.57
113.874    30.512   291.692
24.1605   42.9751   10.6936
120.191    9.1161   213.137
 193.08   15.0964     160.7
127.735   29.3762   188.682
101.066   15.1194    241.89
106.283   17.9215    256.42
337.691   24.8807   22.1851
113.121   36.7538   222.748
252.732   15.1512   77.5537
122.866   41.4321   194.886
91.0091   41.4084   225.853
17.7791   33.5679   7.26242
 331.77   29.3352  0.368431
 340.77   14.5338   4.32724
353.171   26.1522   348.397
97.4005   23.8668   292.706
92.4666   21.0459   234.582
149.294   36.7393   194.036
39.2246   31.8146    355.27
91.6114    36.633   236.288
245.189   45.5685     150.8
 114.02   34.8995   205.213
242.281    23.778   159.713
76.4008   41.1929   245.766
236.432    46.292   154.091
301.968   33.1663   19.5142
199.225   28.1996   204.179
321.639   45.0932   48.8295
354.431   40.2685   352.796
60.6962   28.9035   337.604
258.736   21.4421    144.33
65.0743   28.1674   328.108
148.747   31.0969   199.216
107.401   25.3667   295.329
284.424   39.6463   42.3041
80.9088   31.1975   318.666
102.282   36.5699   246.596
264.358    40.818   101.996
334.118   37.3833  0.405008
70.2282   28.9865   267.277
177.551   41.9775   178.149
255.182   45.6054   124.366
225.569   44.6282   155.595
252.529   33.3108   62.0567
33.1753   44.0694   1.01041
9.71501   16.0391    2.9165
48.3156   42.3316   271.167
299.941   23.6507   24.8986
120.428   39.8871   199.321
201.936   16.6845   156.525
232.714   20.9966   172.422
 337.39   17.8331   24.0563
316.318   41.5125  0.620341
203.311   38.5874   173.469
317.991   26.9934   14.2729
305.233   33.6641   30.1236
258.963    37.089   75.6532
30.8744   34.1821   1.85767
205.366    25.875   180.532
163.795   22.2706   199.323
306.691   20.6763   53.2069
210.456   36.2542   107.943
143.912   30.7297   196.359
292.937   31.6325   72.7821
159.079  0.898374   209.058
286.073   23.4882   45.3444
167.931   4.93662   168.721
219.915   25.7183   158.858
282.527   21.8163   49.4904
106.978   31.5363   210.687
329.186   23.9789   357.049
335.012   39.0082   355.313
261.366   36.8234   63.7203
318.834   42.3401   11.9602
155.518   38.2717   193.549
212.835    18.695   180.604
91.9925   2.73933   284.845
135.853    50.381   199.038
340.587   27.4838   356.904
324.406   41.1886   20.9014
151.178   26.8239   198.937
121.889   23.9541   198.554
115.139   35.4754   210.246
350.646   32.4874   359.484
295.685   32.1247   22.2313
60.1665   12.5087   264.894
261.426   31.3712   79.5944
75.1593   23.7648   313.715
293.123   11.5231   55.3648
233.746   36.9983   153.374
113.258   30.6313   253.224
243.419   6.79272   146.053
72.1475   35.5022   312.412
175.145   21.1179   177.787
196.909   41.0056   127.145
49.3212   35.5122   339.327
113.037   22.1107   286.754
 326.69   15.4413   18.6446
282.746   41.6042   62.6583
262.921   26.7917   130.868
169.209    33.048   216.227
296.737    35.325   30.6966
153.381   36.9779   174.362
124.846   18.7283    277.31
70.4646   31.0044   319.857
157.013   36.8292   189.101
 140.93   27.3716   192.388
301.645   15.7957   51.8515
98.1835   25.8098   299.697
154.794   36.2473   202.017
277.701   24.5633   42.6181
99.9401   35.8442   243.812
150.894    39.586   171.823
205.713   29.2263   189.052
24.5588   7.80367   332.419
257.925   45.0816   123.305
315.423   57.8194   49.2019
38.4912   35.7591   348.142
105.415   38.7102     290.6
10.6474   37.1267   6.11241
 359.99   36.8952   19.3328
41.2605   11.6901   331.265
274.294   36.8627   113.267
214.121   32.9869   167.561
36.6674   45.9481   286.309
 169.73   30.7407   187.457
248.947   35.0575   81.7082
184.009   16.9025   178.326
249.043   17.7553   83.8454
259.087   39.8469   75.7095
327.565   40.5858   71.2887
281.773   36.1416   48.4108
 245.74   45.3873   151.756
277.088   12.4027   124.496
138.631   38.1718   176.136
95.0933    39.678   307.044
117.304   35.2067   205.895
40.4319    34.081   358.223
211.718   31.9033   168.618
323.918   45.8157   6.72607
137.981   41.8422   197.662
356.928   32.6817   354.891
231.243   32.6463   95.1994
280.713   9.78556   71.2994
212.587   48.1633   168.961
208.887    6.1013   170.589
163.213   31.6877   188.363
70.4737   22.9793   319.135
97.1223   29.0947   296.643
144.605   34.5364   172.269
 61.749   26.4547   331.863
61.4291   24.6554   331.251
115.167   30.8604   237.519
258.861   16.2489   135.079
230.505    32.415   153.247
237.174   28.6304   140.896
341.505    30.264   349.132
 246.51   24.1083   136.873
34.1954   32.5455   356.536
167.803   38.9811   174.404
286.638   45.4153   65.0079
208.199   43.6589   170.287
47.7212   42.2118   355.849
270.861   35.8211   62.1729
164.877   42.4913   180.718
19.9997   20.2512   3.43687
99.3209   29.4708   217.429
278.996   36.9897   94.9284
158.709   22.7828    162.55
260.761   37.1619   126.267
153.168   31.2655   173.848
312.871   49.0231   33.4268
292.209   44.5299   24.6598
87.8176   2.45217   269.668
136.003   41.2533   202.733
249.814    42.965   130.565
108.579     3.328   247.811
69.1976   16.0172   322.647
26.0057   36.9989   16.8717
353.781   41.3859   353.856
292.665   33.6288   33.1503
314.806   33.4772   21.0184
104.142    3.2216    232.21
142.644   11.4786   189.338
117.468   17.2485   198.333
264.647   21.7384   77.9413
  163.3   36.7433   232.249
238.691   25.8068   165.091
 302.71    39.921   95.1507
121.367   31.7161   270.027
156.731   6.87117   185.213
296.736   50.4534   33.7407
189.004   12.8763   179.965
266.649   22.5384   120.331
139.852   27.0057   189.449
314.071   59.2054   48.9804
 327.81   45.8644   13.3188
139.699     51.74    243.63
127.816    12.887   232.217
299.371    36.797   32.2015
235.226   32.6913   153.215
246.926   21.1982   76.4556
242.092   36.2754   146.406
111.017   28.9267   212.067
304.338   28.9409   99.3219
37.3549   52.5286   300.275
330.722   14.3447   41.0336
106.734   34.5687   220.216
286.424   30.9227    65.388
 256.78   24.8228   121.583
36.2565   29.7984   357.423
132.254   27.7541   199.242
  142.3    42.949   240.239
353.725   33.4634    349.41
115.231    22.094   214.652
246.153   31.3503   70.1349
53.9389   9.78835   303.826
142.334   32.0696   172.252
227.364   13.5886   168.146
110.039   21.1172   206.355
319.042   36.8847   17.9551
314.688   35.0131   86.2233
254.906    43.801   131.667
89.2843   23.8978    227.22
126.099   18.5449   269.218
141.416   44.9272   184.921
55.1325   22.0042   344.025
233.255   41.7602    103.84
310.355    24.305   20.3281
78.8674   33.8024   244.804
285.116   31.5771    29.242
69.2065    34.634   248.454
89.8647   18.0906   309.477
90.2226   30.9367   302.882
101.071    18.606    214.85
75.7199   23.2233   313.845
41.5017   28.2816   357.537
217.504   22.4374   127.547
170.629   38.6662   175.534
 270.58   30.5479    44.684
62.3679   41.8391    332.42
105.497   19.1858    228.24
76.5168   30.0002   322.305
 84.213   18.5269   239.174
89.9239   45.9448   300.126
  87.02   21.2803   250.469
351.716   41.6878   359.729
28.0643   32.3188   333.725
66.9312    18.099   254.991
20.8537   31.0792   7.58356
250.439    31.879     63.45
318.653   34.0499   14.8541
92.0105   35.2428   238.303
34.1158   32.3656   5.96041
68.9931   34.0252   316.509
93.2827   35.0256   239.596
23.9144   38.4332    349.05
302.723   39.1904    32.038
235.132   46.0212    98.977
269.599    15.958    103.63
351.313    33.877   11.0514
326.334   37.1676   72.6842
208.112   47.1154   169.976
 70.299   39.9004   277.718
258.359   31.7578   132.559
120.581   19.0253   220.914
 206.56   41.0261   194.591
143.642   39.0835   180.205
166.668   44.9858   183.787
63.9526   11.6974   290.132
287.727   31.2723   90.0111
162.038   40.6438    165.58
107.975    35.355   233.049
337.067   32.0626   5.21492
256.213   17.7012    137.55
142.229   28.5297   172.754
319.193   37.5333   13.1481
275.116   18.2536   46.7438
200.044   34.8237   169.575
252.408   11.9861   62.6712
217.408   34.7993   180.993
246.017   40.0782   80.7304
260.238   26.6328   63.6066
81.2317   24.7628   311.756
255.927     38.09   143.631
246.113   7.13847   122.186
126.977   31.9425   205.161
33.4871   29.1253   344.722
