     phi1       Phi      phi2
  263.376   11.5296   327.755
  219.928   90.3871   321.756
   230.02   102.171   247.755
  192.357   73.0168   342.124
  26.6915   63.3193   115.506
  187.658   149.132   209.502
  305.711   48.7102    343.93
  72.0467   133.186   92.5257
  121.544   167.464   262.978
  123.188   75.7826    179.76
  325.306     62.97   182.769
  330.701   50.4538   296.664
  249.644   54.6973   98.9483
   199.04   102.136   355.681
  203.211    95.882   215.901
  172.192   144.152   340.287
  134.614    138.01   30.8446
  138.975   113.357   352.761
  132.257   132.526   178.236
  68.9197   104.163   223.527
  343.716   131.545   59.5357
  209.291   20.0762   158.146
  16.6647    95.686   73.6578
  95.6358   90.1665   181.055
  151.808   33.5788   19.3616
  3.00626   105.371   241.055
  134.906   63.8823   239.933
  351.671   64.8436   274.252
  260.233   125.531   244.677
  357.707   95.3411   152.692
   141.89   36.2989    295.77
  105.918   120.435   42.0932
  270.589   83.2125   84.3106
  92.4571   74.6334   105.125
  255.119   91.6881   351.985
  354.966    132.13   351.857
  214.408    101.43   288.619
  277.278   89.5937   329.588
   192.92    115.43   351.649
  332.283   3.62647   172.479
  206.353   68.9351   354.147
  90.2484   89.4213   26.8491
  264.114   158.573   27.4761
  202.937    124.61   311.185
  271.432    99.698   260.397
  206.426   93.3238   275.466
  153.401   41.6857   272.409
  2.20115   80.4342   80.6845
  269.946   49.2966   138.067
  182.951   24.0496   343.962
  306.983   104.542   220.612
  210.522   99.7172   253.879
  266.028   125.907   4.57338
   216.91    165.31   109.067
  164.398   104.623   261.876
  209.227   76.6298   220.114
  79.6455   71.3259   154.264
  330.693   44.9452   247.606
  139.905   160.121   59.9433
  233.934   45.2866   356.816
   163.19   107.111   356.064
  290.237    75.653   23.4341
  246.891   69.9046    42.045
  124.709   140.911   232.004
  49.0824   64.6675   80.4222
  270.413   105.835   175.794
  65.4065   94.9082   175.058
  235.633    86.984   285.186
  20.7869   52.9581   221.895
  202.261   132.117   205.482
   31.847    105.57    83.441
  125.118   109.519   155.079
  275.054    27.926   23.9504
  208.851   19.1805   93.6477
  283.818   116.053   40.4023
  291.703   100.427   273.132
  186.093   158.318   93.6361
  20.4225   26.3086    358.74
   320.69   126.781   35.9589
  65.7194   29.3848   351.336
  138.032   151.137   92.8107
  282.755   172.406   4.45109
  216.343   73.7093   24.8248
  238.564   71.4541   215.599
  231.771   90.3298   276.113
  176.949   58.4914   210.069
  264.622   102.229   86.5885
  92.8998   51.6102   249.826
  297.308   135.717   306.534
  188.984   145.578   48.9071
  69.6335   146.176   179.385
  319.939   51.2468   33.0662
  243.783   45.2893   294.932
  98.3214   78.5685   160.672
  18.2261   80.3457   244.887
   23.155   59.9326   327.845
  260.624   102.969   268.113
  116.296   52.7778   58.7873
  84.5933    56.784   148.034
   67.897   81.6964   207.163
   295.06   82.7869   132.594
  106.078   104.764   60.3028
  291.532   111.295   58.4791
  204.765   135.469   179.846
   337.82   84.6747   303.501
  207.922   110.865   302.005
  287.058   89.9477   71.7104
  204.359   175.375   133.292
  130.228   134.999   357.266
  11.4277   96.5092    92.363
  108.052   143.934   178.748
  298.997   75.6546   322.938
  150.654   54.5138   163.902
  243.492   26.3764   329.105
   33.984   83.6789   229.777
   43.972   130.747   338.307
  208.611   19.7396   289.177
  150.145   165.491   75.0234
  206.103   109.746   126.174
  265.051   116.854   347.767
  69.0748   68.8259   275.845
  135.304   53.1329   317.712
  70.5899   110.012   44.3275
  88.4961   67.8127   223.161
  74.1913   120.636   249.249
  346.417   100.739   162.935
  183.132   53.3185   271.132
  225.036   83.5078   126.066
  44.4434   118.973   66.1393
  66.3719   98.1181   104.512
  210.455   78.6647   180.001
  345.693     112.6   284.583
  107.423   76.3579   41.1063
  15.9487   91.5949   95.6698
  312.799   66.9899   46.4251
  76.8235   67.9144   72.8816
   136.96   124.552   99.0611
  270.377   32.9208   181.203
  123.615   73.3575   218.942
  131.942   40.5171   103.262
  227.196   104.756   19.4421
  316.554   167.546    79.282
   295.93   138.385   337.058
  354.693   60.8406   273.895
  88.6659   27.0384   66.5147
  93.7118   55.2397   212.379
   6.3362   59.7899    282.99
  313.789   133.233   85.0937
  46.1969    81.816   37.8998
  160.108   98.2071    319.96
  142.311   25.2778   294.135
  187.953   70.8102   305.478
  134.904    61.294   163.128
  81.1266    67.552   146.557
  250.263    30.634   192.337
  306.124    94.698   194.313
  4.35705   136.241   232.203
  263.544   154.001   204.121
  291.424   77.0091   279.061
  269.407    65.575   136.762
  277.176   139.114   305.536
  96.5167   109.974   109.298
  300.559   129.892   70.6912
  249.971    96.685   99.7501
  70.7765   167.484   358.132
  21.8163   70.3834   259.771
  352.037   126.176    260.15
  63.3303   34.6263   10.4216
  294.394   140.233   207.867
   73.798   143.546   62.2413
  68.8461   12.5337   138.949
  57.8091   88.0017   191.029
  227.963   109.072   279.363
  328.556   26.9874   138.439
  239.766   172.422   244.474
  119.218   72.0694   180.917
  310.413   92.2025   78.1347
  354.731   88.5038   178.827
  38.3409   130.522   181.579
  338.701   86.4428   319.761
   301.79   145.095   43.7377
  346.847   77.2012   32.0789
  96.2168   52.8407   134.257
  238.183   26.3798   36.4811
  283.852   86.6346   71.8547
  298.049   60.1525   72.3455
   127.45   101.832   206.947
  3.00558   20.2028   218.295
  201.956   44.7054   145.827
  115.948   152.462   208.629
   130.36   63.5141   271.254
  312.168   115.398   68.6043
  184.624   66.7186   76.1015
  16.9338   74.5262   253.275
  114.384   99.2956   198.803
  108.073   69.8368   314.858
  155.975    154.94   198.812
  231.698   145.512    300.01
  171.624   93.0413   316.107
  198.619   144.609   231.607
  315.471   25.5373   4.47539
  220.666   36.9589   305.619
  188.169   54.6581   21.5764
  265.568    46.413   86.9393
  175.837   149.848   225.179
  183.097   89.1914   294.459
 0.438986   129.242   142.564
  306.046   39.5624   286.702
  258.708   158.407   195.334
  190.014   143.918   41.4252
  43.8834   19.5268   38.3566
  258.168   105.793   298.028
  205.963   87.4584   72.1967
    29.87    9.2106    253.99
  326.537   147.026   340.236
  286.915    116.95   111.078
  271.852   116.995   344.631
  333.945    119.83   24.7986
  218.568   107.193   204.357
  142.904   161.066   326.713
   249.52   115.633   217.339
  356.455   58.1858   339.156
  73.0958   88.9212   100.351
  324.502    116.88   124.481
  72.2335   47.6395   287.502
  119.371   116.783    2.5165
