      phi1        Phi       phi2
   271.431    114.289    28.3193
   176.823     58.609    207.138
   230.158    88.7209    274.569
   246.283    141.369     270.19
   58.9232    48.2573    141.091
   225.885    122.948    255.122
   150.453    101.556    326.329
   294.181    123.503     259.81
   104.673    66.9666    232.459
   333.878     65.441    334.939
   205.821    129.176    87.8535
   64.0386    130.241    286.396
   6.04513    131.482    232.045
   49.0728    116.436      188.9
   291.761    140.211    254.266
   160.991     35.547    1.72273
    274.21    174.379    130.203
   243.637    52.7452    67.8518
   199.977    162.553    359.025
   296.095    66.8155    237.681
   146.438    155.343    79.8144
   36.9525    89.4995    289.351
   237.029    30.7433     27.941
   315.861    109.855    49.9175
  0.140998    130.418    223.599
   8.87396    26.0492    260.904
   13.4613    59.9897    199.394
   118.019    118.043    321.499
   205.484    113.799    349.465
   209.174     94.874    266.367
   91.0679    46.0775     84.169
   31.9904    80.2444    49.7627
   245.608    93.9726    326.215
   18.3567    145.635    146.501
   317.744    32.2438    339.392
   343.425      63.53    8.88712
   9.91692     157.72    326.055
   263.779    50.1364    102.696
   219.021    82.6231    213.586
   208.484    129.934    109.253
   3.69751    45.1218    252.725
    135.55    119.228    215.009
   129.568    63.8165    225.295
   287.363    65.0845    187.042
   32.8888    95.0635    228.882
   32.1137    158.154     357.66
    190.01    108.111    161.571
   91.1361    144.756     295.43
   355.776    93.3806    205.089
   33.8834     128.38    37.4886
   191.773    14.6701    44.0366
   191.488    19.5486    122.186
   126.337    132.103    325.475
   127.537    98.3305    50.2677
   335.553    115.632    55.6988
   300.346    112.551    42.1423
    215.24    83.6177    101.224
   178.504    117.957     308.88
   121.592    70.4118    265.465
    124.08    151.926     329.64
   219.481    164.636    12.3655
   281.397    125.978    355.976
    165.38    132.586    274.394
   335.169    8.07921    256.196
   114.985    97.2239    155.018
    345.16    105.211    253.965
   159.247    121.184    203.478
   36.6011    127.298    40.3086
   341.511    33.0783    69.0738
   351.641    79.2799    207.007
   183.842    34.6089    130.343
   355.719    81.7932    132.609
     236.4       57.3    328.284
    260.28    25.0189    350.745
     244.7    131.419    280.783
   232.636    142.037    238.684
   157.376     107.07    225.724
    345.56    36.4481    233.224
   273.934    145.053    114.064
   108.608    101.181    43.9973
   46.4693    121.979    173.186
   265.523     111.22    168.171
