      phi1         Phi        phi2
   32.2151     76.5308     148.655
   192.134     27.7457     84.1704
   174.183     40.3622     85.5572
   162.412     160.989     339.822
   221.334     33.1851     29.4898
   138.471     36.8252     90.2124
   125.907     87.4788     109.048
   223.299     89.7774     164.322
     2.721      66.622     87.3057
   124.108     46.9558     103.846
   91.8889     146.283     207.137
   166.594      64.985     63.3105
   233.888       92.58     135.499
   176.902     128.617     155.199
   64.4576     50.2847     235.386
   7.34703     160.313     269.918
   64.5525     158.517     306.767
   160.613     91.1081     325.451
   143.292     78.6109     38.2712
   32.0437     93.1637     72.2783
   298.609     102.661     142.165
   325.622     141.435     145.384
   271.454     126.531     330.356
   325.076     66.1753     137.733
   310.926     154.926     300.559
   343.157     64.3852     226.541
   294.017     121.936     221.259
   51.7102     97.0422     349.013
   82.7273     108.628     348.843
   119.045     98.0525     341.234
   357.582     117.791     342.505
   260.766     115.021     8.82456
    299.96     14.9547     314.952
   204.623     54.3749     290.868
   247.681     132.395     15.0731
   183.415     98.8639     284.422
   287.814     100.256     324.687
   97.8816     98.8786     280.836
    348.55     85.8305     349.685
   294.959     81.3654     210.395
   333.589     62.0118     94.7698
   295.328     58.3945     77.6557
   101.699     78.8689      127.07
   31.8077     162.388     200.195
   347.134      130.22     207.876
   228.676     69.7406     128.734
   259.061     26.6879     226.789
   17.3975     138.517     80.7043
   122.729      53.075     160.221
   153.091     112.295     339.104
   80.0032     27.7361     335.159
   83.4943     67.6692     262.342
   337.581     76.6433     352.646
   115.239     130.532     343.061
    68.388     94.3252     197.455
   115.408     85.3533     11.4149
   228.145     25.9954     202.236
   271.378     63.2435      115.14
   161.953     71.3099     7.89179
   26.8759     95.5098     141.127
   182.011     87.4705     345.387
   106.762      50.479     265.778
   290.303     131.184     337.955
    98.001     79.7376     19.1637
   122.325     45.9922     302.984
   88.0651     92.7676     327.904
   252.187     62.8779     164.055
    272.68     52.7926     135.826
   77.4668     77.5447     21.2148
   244.803      43.429     171.159
   194.459     49.8336     358.143
   234.847     65.3031     319.118
   75.4014     126.676     325.233
   217.617     67.8124      136.66
   215.946      124.97     198.757
   142.203     94.6043     244.666
   240.722     68.2598     129.371
    131.39     38.5587     169.825
   12.8639     43.5254     183.278
    354.78     23.9317     203.687
   183.876     123.325     223.086
    52.136     65.7748     165.796
   94.8844     91.7495     268.636
   27.1163     25.4903     121.737
   314.833     108.507     266.454
   290.343     84.5021     124.691
   69.0114     121.365      128.82
   232.992     91.5301     234.691
   87.2213       59.35     105.037
   184.995     114.933     276.164
   9.21004     109.747     18.0323
   176.829     80.5966     245.178
   73.1197     96.8263     50.5178
   196.319      41.683     175.621
   18.0959     103.264     287.755
   200.681      102.77     334.989
   225.808     70.0177      73.271
   331.234     99.5623     8.81109
   235.183     88.9708     322.247
   89.9077     33.7813     294.008
   174.971     40.9899     302.834
   258.058     106.271     139.321
   54.6743     71.1668     138.998
   278.399      67.564     38.2351
    93.635     80.6189     310.045
   1.36447     131.315     48.1329
   204.746     77.3054     300.129
   130.793     108.592     149.084
   176.864     54.2009     245.924
   97.1301     56.0996     257.953
   267.728     154.039     248.985
   179.492     56.7898     264.273
   247.099      135.65     359.293
   298.487     45.0206     135.806
    44.666     30.5454     145.974
   7.80855     99.4879     313.321
   22.5862      113.32     237.442
   33.6382     28.4436     54.3354
    229.79     97.2011     329.745
   22.7627     115.527     207.404
   220.157     43.2626     208.608
   132.498     55.9699     112.869
   312.146     174.968     123.004
    237.39      117.76     165.372
   52.2615     89.8693     50.9856
   251.679     66.5899     70.1636
   96.8325     131.034     154.771
   144.396     18.9749     46.9677
   317.124     166.958     69.8113
   165.461     99.2876     124.354
   39.9451     69.2771     190.306
   336.114      115.61     191.107
   226.137     48.7375     201.569
   304.222     148.157      127.26
      15.1     76.5644     326.574
   222.733      108.16     246.151
   163.198     142.992     274.516
   212.553     98.2402     99.6751
   125.479     76.2175     81.4336
   274.459     20.4679     127.018
   244.521     126.883     354.254
   86.7137     103.362     348.304
   180.529     9.38445     126.629
   173.823     123.282     3.11947
   240.987     137.533     231.892
   108.904     163.831     256.927
   257.312     88.4568     335.433
    322.42     115.646     76.8459
   185.631     41.2628     297.133
   133.546     83.5175     26.1583
   345.046     25.9679     142.821
    170.76     67.8772     47.5212
    65.624      45.837     141.441
   121.203     77.9093     233.619
   28.3015     152.395     74.5771
   33.8685     95.5102     280.527
    87.857     115.594     17.4142
   18.9367     113.898     85.4936
   240.663     125.632     64.7637
   176.684     149.891     150.209
   85.4155     155.494     60.9443
   141.763     55.8944     108.493
   82.1563     52.7631     176.411
   38.4225     33.2586     262.183
   282.436     165.728     212.753
   231.041      112.29     267.432
   339.494     102.166     209.974
   149.901     100.901     173.365
    214.16     89.5334     194.811
   158.641     28.7147     162.617
   345.072     97.3446     304.415
   334.012     136.801      290.49
   191.464     117.444     38.4074
   336.266     84.6294     332.689
    106.06     85.0764     307.774
    330.09     100.827     149.968
   38.5522     144.951     355.305
   1.03777     58.7737     230.394
   261.849      61.247     101.004
   230.179      140.31     248.073
    143.34      96.766     323.389
   49.5739     82.6167     127.117
   124.177     110.864     26.7888
   105.858       58.12     192.351
