       phi1         Phi        phi2
    71.4127     145.794     298.027
    294.262     77.9915      138.58
    171.715     154.865     284.406
    6.45856     47.1506     61.2751
    99.5092     49.8521     168.415
    194.918      95.618     206.173
    11.4534     42.8715     30.4291
    41.9729     82.9623     27.6781
     289.55     115.103     190.388
     307.36     88.6302     185.804
    192.246     85.9317     203.282
    25.9212     77.6444     353.896
    54.4729     92.2757     10.8434
      307.6      74.931     194.382
    43.4119     100.634     61.0477
     162.41     110.912     246.312
    169.176      110.72     147.406
    13.2159     82.3336     282.424
    11.4232     118.641     84.1214
    194.432     31.8867     131.175
      83.43     43.1236     184.889
    144.527     161.731     28.1672
    286.611     131.897     101.542
   0.477775     135.979     181.512
    291.129     90.2788     83.6852
    145.996     167.775     359.341
    125.799     41.6928     69.0146
    204.175     107.968     206.012
    177.665     133.112     333.541
    165.561     152.394     150.749
    300.617     71.7499     180.191
    226.718     27.7541     352.541
    17.2758     78.6512     222.247
    223.513     135.463     188.317
    103.183     140.364     75.4501
    271.804     46.0746     23.1668
    337.931     20.1013     328.766
    138.054     51.9916      159.53
    356.337     93.6944     172.772
    158.197     87.8563      346.38
    185.564     55.6245     129.962
    19.9243     82.3706      73.998
    113.983     109.697     161.966
    122.228     108.063     123.314
    138.988     87.2068     56.5541
    237.164     43.0501     76.8356
    131.547     132.556     195.243
    11.3653     123.319     158.563
    1.48805     59.0853     9.48463
    335.117      118.61     111.084
    312.621     12.3607     192.287
    73.1463     147.852     332.086
    121.644     28.5644     74.2263
    249.671     149.154      203.79
    248.136     24.5115      299.76
    50.4142     157.583     94.9703
    128.116     3.62419     265.354
    106.567     79.7548     44.8137
    48.3417     77.4625     357.036
     47.766     55.5938      112.62
    116.482     83.8008     306.733
    25.7885     172.764     103.796
    145.973     136.882     108.244
    171.654     135.695     119.253
     328.72     137.371     197.136
    245.975     85.1673     148.147
    211.701     38.8188     162.869
    261.547     70.6004     215.355
    197.525     112.232     178.084
    330.479     155.081     240.626
    346.974     40.4748     207.238
    149.406     56.3902      316.15
    40.5119     35.6587      312.15
    206.285     64.2316     282.688
    311.354     26.4003     159.211
    197.466     104.666     68.2289
    259.259     89.5114     170.566
    182.287     52.4839     193.204
    87.8511     109.772     27.7181
    150.234     50.2859     44.8743
    155.973     70.2902      138.65
     298.21     36.1956     115.179
    19.0201     89.4211     262.063
    73.2495     59.7553     103.124
    346.384      117.52     186.463
    349.591      29.451     241.782
    225.011     74.7085     46.4452
    149.304     115.427     270.429
    334.856     100.109     97.2066
     249.98     46.2596     180.839
    22.6947     102.329     49.0201
    271.395      89.035     321.574
    222.171     79.6872     304.599
    163.536     23.5082     26.6396
    325.606     0.80724     295.718
    299.662      135.53     318.753
    303.737     93.5424     41.9975
     140.03     87.5313     126.434
     247.73     79.5509     249.382
    204.871     61.6043      19.253
    180.916     64.6639     281.264
    149.903      89.794     10.7553
    256.121     58.0757     196.219
    14.5864     26.3973     263.497
    108.682     118.503     11.8542
    299.187     66.3167     351.139
     293.26     97.6241     114.953
    183.748     159.856     52.5725
    192.994      42.558     318.363
    22.3162     74.1906     64.6581
    316.416     128.176     71.0643
    303.953     30.0089     91.0941
    52.3188     94.6857      163.05
    43.5862     42.2751     315.353
    354.031     64.5481     234.505
    268.398     56.4536     187.361
    321.049     97.5407     268.869
     273.22     59.7642     341.492
    17.8163      151.43     298.473
    241.974     67.4635     309.645
     120.57      122.78     299.521
    302.705     93.0227     10.6085
    324.271     98.7943      152.11
    22.5262     138.855     217.089
    231.354     41.4374     298.046
    301.482     57.3741      267.19
    203.684     70.9512     169.742
    99.8925     85.2232      221.67
    56.8161      127.06     169.488
    76.4984     69.6835     349.203
    335.614     127.415     349.182
    220.058     59.4122        74.2
    20.3787      121.67     153.969
     269.63     35.2375     260.853
      54.79      68.761     307.742
    81.7451     23.4277     5.70143
    111.888     19.7559     284.946
    140.995     109.009     59.7468
    261.634     62.2754     136.385
    10.2617     46.0454     235.124
     348.36     46.5718     294.015
    141.882     123.768     206.907
    153.517     49.4911     252.772
    166.259     114.853     203.639
    341.588     148.159     49.3071
    312.197     30.2484     208.202
    147.818     36.1646     221.621
    57.3063     83.2239      169.62
    211.894     65.8468     146.886
    320.178     61.7623     288.531
     164.77     68.8476      93.516
     60.138     84.3713     343.235
    60.0656     121.619     55.3337
    276.856      149.55     35.2729
    163.925     135.949     134.733
    330.991     125.806     309.586
     275.52      108.15     108.226
    335.311     123.381       115.2
    281.161     143.213     117.154
    187.463     106.603     235.161
     44.794     52.3019     47.2175
    3.74957     101.302     86.1305
    125.223     33.8584     162.608
    307.746     140.211     254.704
    155.678     58.0986     228.841
    271.735     6.95511     91.5337
    92.2414     113.882     23.4835
    101.151      156.69     289.603
    260.023     40.2722     33.7263
    350.009     117.737     287.917
    80.7827     89.0175     308.179
    230.194     140.979      40.029
    266.922     73.2844     192.381
    292.863     27.4896     65.9105
    40.5743     44.5264     358.864
      301.5     115.031     8.30459
    57.0881     108.604     5.38588
